drug,target
Atorvastatin,PTGS2
Atorvastatin,RAC1
Atorvastatin,RB1
Atorvastatin,RELA
Atorvastatin,RHOA
Atorvastatin,RHOB
Atorvastatin,RHOC
Atorvastatin,SCARB1
Atorvastatin,SELE
Atorvastatin,SLC10A2
Atorvastatin,SLC1A2
Atorvastatin,SLC1A3
Atorvastatin,SLC22A1
Atorvastatin,SLC22A3
Atorvastatin,SLC22A5
Atorvastatin,SLC6A4
Atorvastatin,SLCO1B1
Atorvastatin,SLCO1B3
Atorvastatin,SLCO2B1
Atorvastatin,SOD1
Atorvastatin,SOD3
Atorvastatin,SREBF1
Atorvastatin,SREBF2
Atorvastatin,SYP
Atorvastatin,TFRC
Atorvastatin,TLR2
Atorvastatin,TLR4
Atorvastatin,TNF
Atorvastatin,TNFRSF1A
Atorvastatin,TNFSF10
Atorvastatin,TUBB3
Atorvastatin,VCAM1
Atorvastatin,VWF
Atovaquone,CYP1A2
Atovaquone,GSTP1
Azathioprine,ABCB1
Azathioprine,AKT1
Azathioprine,ALB
Azathioprine,BCL2L1
Azathioprine,FOXO1
Azathioprine,GPT
Azathioprine,GSTA1
Azathioprine,GSTA2
Azathioprine,GSTM1
Azathioprine,HLA-DQA1
Azathioprine,HLA-DRB1
Azathioprine,HMGB1
Azathioprine,HP
Azathioprine,IGF1
Azathioprine,IGF1R
Azathioprine,IL12A
Azathioprine,IL12B
Azathioprine,IL1A
Azathioprine,IL4
Azathioprine,IL6
Azathioprine,IRS1
Azathioprine,ITPA
Azathioprine,KEAP1
Azathioprine,MAP2K1
Azathioprine,MAPK1
Azathioprine,MAPK3
Azathioprine,MSH2
Azathioprine,MTOR
Azathioprine,NFE2L2
Azathioprine,NOS2
Azathioprine,NQO1
Azathioprine,ORM1
Azathioprine,PTCH1
Azathioprine,RAC1
Azathioprine,RPS6KB1
Azathioprine,SERPINA1
Azathioprine,STAT3
Azathioprine,TNF
Azathioprine,TP53
Azathioprine,TPMT
Azathioprine,TSC2
Azathioprine,VAV1
Azithromycin,ARG1
Azithromycin,ARSA
Azithromycin,CCL2
Azithromycin,CTSB
Azithromycin,CXCL8
Azithromycin,CYP3A4
Azithromycin,HEXB
Azithromycin,IL1B
Azithromycin,IL6
Azithromycin,PLA1A
Azithromycin,RAC1
Azithromycin,SLC22A2
Azithromycin,TNF
Beclomethasone Dipropionate,ABCB1
Beclomethasone Dipropionate,ABCG2
Beclomethasone Dipropionate,ACP5
Beclomethasone Dipropionate,BGLAP
Beclomethasone Dipropionate,CASP9
Beclomethasone Dipropionate,CAT
Beclomethasone Dipropionate,CCL11
Beclomethasone Dipropionate,CCL2
Beclomethasone Dipropionate,CCL3
Beclomethasone Dipropionate,CCL4
Beclomethasone Dipropionate,CCL5
Beclomethasone Dipropionate,CD44
Beclomethasone Dipropionate,CSF2
Beclomethasone Dipropionate,CXCL10
Beclomethasone Dipropionate,CXCL8
Beclomethasone Dipropionate,EPX
Beclomethasone Dipropionate,FCER1G
Beclomethasone Dipropionate,FGF2
Beclomethasone Dipropionate,FN1
Beclomethasone Dipropionate,FOS
Beclomethasone Dipropionate,GGT5
Beclomethasone Dipropionate,HSD11B2
Beclomethasone Dipropionate,ICAM1
Beclomethasone Dipropionate,IL10
Beclomethasone Dipropionate,IL13
Beclomethasone Dipropionate,IL1B
Beclomethasone Dipropionate,IL1RN
Beclomethasone Dipropionate,IL2RA
Beclomethasone Dipropionate,IL3
Beclomethasone Dipropionate,IL4
Beclomethasone Dipropionate,IL5
Beclomethasone Dipropionate,IL6
Beclomethasone Dipropionate,LTF
Beclomethasone Dipropionate,MMP2
Beclomethasone Dipropionate,MMP9
Beclomethasone Dipropionate,NOS2
Beclomethasone Dipropionate,NR1I2
Beclomethasone Dipropionate,NR3C1
Beclomethasone Dipropionate,NR3C2
Beclomethasone Dipropionate,PLA2G4A
Beclomethasone Dipropionate,PPP1R14A
Beclomethasone Dipropionate,RHOA
Beclomethasone Dipropionate,RNASE2
Beclomethasone Dipropionate,RNASE3
Beclomethasone Dipropionate,SLC22A2
Beclomethasone Dipropionate,THY1
Beclomethasone Dipropionate,TIMP1
Beclomethasone Dipropionate,TNF
Beclomethasone Dipropionate,VCAM1
Beclomethasone Dipropionate,VEGFA
Benznidazole,PRL
Benznidazole,TAT
Benznidazole,ABCC2
Benznidazole,NFE2L2
Benzylpenicillin,SLC15A1
Benzylpenicillin,SLC15A2
Benzylpenicillin,SLC22A11
Benzylpenicillin,SLC22A4
Benzylpenicillin,SLC22A5
Benzylpenicillin,SLC22A6
Benzylpenicillin,SLC22A8
Benzylpenicillin,SLCO1B1
Benzylpenicillin,SLCO2B1
Benzylpenicillin,SLCO3A1
Benzylpenicillin,SLCO4A1
Berberine,ACTA2
Berberine,AHR
Berberine,AKT1
Berberine,BAX
Berberine,BCL2
Berberine,BCL2L1
Berberine,CASP3
Berberine,CASP8
Berberine,CASP9
Berberine,CCL2
Berberine,CCND1
Berberine,CCND2
Berberine,CCNE1
Berberine,CDK2
Berberine,CDK4
Berberine,CDK6
Berberine,CDKN1A
Berberine,CDKN1B
Berberine,CEBPA
Berberine,CHEK1
Berberine,CHEK2
Berberine,CXCL8
Berberine,CYCS
Berberine,CYP1A1
Berberine,EIF4EBP1
Berberine,FAS
Berberine,FASLG
Berberine,GSK3B
Berberine,H2AFX
Berberine,HMOX1
Berberine,HNF4A
Berberine,IGF1R
Berberine,IL1B
Berberine,JUN
Berberine,MAPK1
Berberine,MAPK3
Berberine,MMP14
Berberine,MMP2
Berberine,MPO
Berberine,MYC
Berberine,NFE2L2
Berberine,NFKBIA
Berberine,NGF
Berberine,NOS2
Berberine,ODC1
Berberine,P2RX7
Berberine,PARP1
Berberine,PPARG
Berberine,PRKCA
Berberine,PRKCE
Berberine,PTGS2
Berberine,RBP4
Berberine,RELA
Berberine,RPS6
Berberine,SLC2A4
Berberine,SLC6A19
Berberine,SOD1
Berberine,SREBF1
Berberine,TERT
Berberine,TGFB1
Berberine,TNF
Berberine,TOP1
Berberine,TOP2A
Berberine,TP53
Berberine,TRAF1
Betamethasone,CCL2
Betamethasone,CCL3
Betamethasone,CCL4
Betamethasone,HPGD
Betamethasone,HSD11B2
Betamethasone,NR3C1
Betamethasone,NR3C2
Betamethasone,VEGFA
Capecitabine,ABCB7
Capecitabine,ACAA1
Capecitabine,AGPAT2
Capecitabine,AGR2
Capecitabine,AKR1B1
Capecitabine,AKR1C3
Capecitabine,ARL4D
Capecitabine,AXL
Capecitabine,CDKN2A
Capecitabine,CES1
Capecitabine,CES2
Capecitabine,CIB1
Capecitabine,CLDN3
Capecitabine,CYR61
Capecitabine,DPYD
Capecitabine,DSE
Capecitabine,EPS8
